adhmk	adhmk	kod	nod	vud	mdflw	rbf	
2.000000e-01	0.000000e+00	1.652717e-01	2.583511e-02	1.178785e+00	9.983964e-01	1.218516e+00	
2.010000e-01	5.552471e-04	1.652662e-01	2.581471e-02	1.173581e+00	9.983964e-01	1.218516e+00	
2.020000e-01	1.110494e-03	1.652608e-01	2.579432e-02	1.168425e+00	9.983964e-01	1.218516e+00	
2.030000e-01	1.665741e-03	1.652554e-01	2.577393e-02	1.163318e+00	9.983964e-01	1.218516e+00	
2.040000e-01	2.220988e-03	1.652499e-01	2.575353e-02	1.158259e+00	9.983964e-01	1.218516e+00	
2.050000e-01	2.776235e-03	1.652445e-01	2.573314e-02	1.153247e+00	9.983964e-01	1.218516e+00	
2.060000e-01	3.331483e-03	1.652391e-01	2.571275e-02	1.148282e+00	9.983964e-01	1.218516e+00	
2.070000e-01	3.886730e-03	1.652337e-01	2.569236e-02	1.143362e+00	9.983964e-01	1.218516e+00	
2.080000e-01	4.441977e-03	1.652283e-01	2.567196e-02	1.138487e+00	9.983964e-01	1.218516e+00	
2.090000e-01	4.997224e-03	1.652228e-01	2.565157e-02	1.133657e+00	9.983964e-01	1.218516e+00	
2.100000e-01	5.552471e-03	1.652174e-01	2.563118e-02	1.128870e+00	9.983964e-01	1.218516e+00	
2.110000e-01	6.107718e-03	1.652120e-01	2.561078e-02	1.124127e+00	9.983964e-01	1.218516e+00	
2.120000e-01	6.662965e-03	1.652066e-01	2.559039e-02	1.119426e+00	9.983964e-01	1.218516e+00	
2.130000e-01	7.218212e-03	1.652012e-01	2.557000e-02	1.114768e+00	9.983964e-01	1.218516e+00	
2.140000e-01	7.773459e-03	1.651958e-01	2.554961e-02	1.110151e+00	9.983964e-01	1.218516e+00	
2.150000e-01	8.328706e-03	1.651905e-01	2.552921e-02	1.105574e+00	9.983964e-01	1.218516e+00	
2.160000e-01	8.883953e-03	1.651851e-01	2.550882e-02	1.101038e+00	9.983964e-01	1.218516e+00	
2.170000e-01	9.439200e-03	1.651797e-01	2.548843e-02	1.096541e+00	9.983964e-01	1.218516e+00	
2.180000e-01	9.994448e-03	1.651743e-01	2.546803e-02	1.092084e+00	9.983964e-01	1.218516e+00	
2.190000e-01	1.054969e-02	1.651689e-01	2.544764e-02	1.087665e+00	9.983964e-01	1.218516e+00	
2.200000e-01	1.110494e-02	1.651635e-01	2.542725e-02	1.083285e+00	9.983964e-01	1.218516e+00	
2.210000e-01	1.166019e-02	1.651582e-01	2.540686e-02	1.078941e+00	9.983964e-01	1.218516e+00	
2.220000e-01	1.221544e-02	1.651528e-01	2.538646e-02	1.074635e+00	9.983964e-01	1.218516e+00	
2.230000e-01	1.277068e-02	1.651474e-01	2.536607e-02	1.070366e+00	9.983964e-01	1.218516e+00	
2.240000e-01	1.332593e-02	1.651421e-01	2.534568e-02	1.066132e+00	9.983964e-01	1.218516e+00	
2.250000e-01	1.388118e-02	1.651367e-01	2.532528e-02	1.061935e+00	9.983964e-01	1.218516e+00	
2.260000e-01	1.443642e-02	1.651314e-01	2.530489e-02	1.057772e+00	9.983964e-01	1.218516e+00	
2.270000e-01	1.499167e-02	1.651260e-01	2.528450e-02	1.053644e+00	9.983964e-01	1.218516e+00	
2.280000e-01	1.554692e-02	1.651206e-01	2.526411e-02	1.049550e+00	9.983964e-01	1.218516e+00	
2.290000e-01	1.610217e-02	1.651153e-01	2.524371e-02	1.045490e+00	9.983964e-01	1.218516e+00	
2.300000e-01	1.665741e-02	1.651099e-01	2.522332e-02	1.041463e+00	9.983964e-01	1.218516e+00	
2.310000e-01	1.721266e-02	1.651046e-01	2.520293e-02	1.037469e+00	9.983964e-01	1.218516e+00	
2.320000e-01	1.776791e-02	1.650993e-01	2.518253e-02	1.033508e+00	9.983964e-01	1.218516e+00	
2.330000e-01	1.832315e-02	1.650939e-01	2.516214e-02	1.029578e+00	9.983964e-01	1.218516e+00	
2.340000e-01	1.887840e-02	1.650886e-01	2.514175e-02	1.025681e+00	9.983964e-01	1.218516e+00	
2.350000e-01	1.943365e-02	1.650832e-01	2.512136e-02	1.021814e+00	9.983964e-01	1.218516e+00	
2.360000e-01	1.998890e-02	1.650779e-01	2.510096e-02	1.017978e+00	9.983964e-01	1.218516e+00	
2.370000e-01	2.054414e-02	1.650726e-01	2.508057e-02	1.014173e+00	9.983964e-01	1.218516e+00	
2.380000e-01	2.109939e-02	1.650673e-01	2.506018e-02	1.010398e+00	9.983964e-01	1.218516e+00	
2.390000e-01	2.165464e-02	1.650619e-01	2.503978e-02	1.006652e+00	9.983964e-01	1.218516e+00	
2.400000e-01	2.220988e-02	1.650566e-01	2.501939e-02	1.002936e+00	9.983964e-01	1.218516e+00	
2.410000e-01	2.276513e-02	1.650513e-01	2.499900e-02	9.992484e-01	9.983964e-01	1.218516e+00	
2.420000e-01	2.332038e-02	1.650460e-01	2.497861e-02	9.955897e-01	9.983964e-01	1.218516e+00	
2.430000e-01	2.387562e-02	1.650406e-01	2.495821e-02	9.919591e-01	9.983964e-01	1.218516e+00	
2.440000e-01	2.443087e-02	1.650353e-01	2.493782e-02	9.883564e-01	9.983964e-01	1.218516e+00	
2.450000e-01	2.498612e-02	1.650300e-01	2.491743e-02	9.847813e-01	9.983964e-01	1.218516e+00	
2.460000e-01	2.554137e-02	1.650247e-01	2.489703e-02	9.812333e-01	9.983964e-01	1.218516e+00	
2.470000e-01	2.609661e-02	1.650194e-01	2.487664e-02	9.777123e-01	9.983964e-01	1.218516e+00	
2.480000e-01	2.665186e-02	1.650141e-01	2.485625e-02	9.742178e-01	9.983964e-01	1.218516e+00	
2.490000e-01	2.720711e-02	1.650088e-01	2.483586e-02	9.707495e-01	9.983964e-01	1.218516e+00	
2.500000e-01	2.776235e-02	1.650035e-01	2.481546e-02	9.673071e-01	9.983964e-01	1.218516e+00	
2.510000e-01	2.831760e-02	1.649982e-01	2.479507e-02	9.638903e-01	9.983964e-01	1.218516e+00	
2.520000e-01	2.887285e-02	1.649929e-01	2.477468e-02	9.604988e-01	9.983964e-01	1.218516e+00	
2.530000e-01	2.942810e-02	1.649876e-01	2.475428e-02	9.571323e-01	9.983964e-01	1.218516e+00	
2.540000e-01	2.998334e-02	1.649823e-01	2.473389e-02	9.537905e-01	9.983964e-01	1.218516e+00	
2.550000e-01	3.053859e-02	1.649770e-01	2.471350e-02	9.504731e-01	9.983964e-01	1.218516e+00	
2.560000e-01	3.109384e-02	1.649717e-01	2.469311e-02	9.471799e-01	9.983964e-01	1.218516e+00	
2.570000e-01	3.164908e-02	1.649664e-01	2.467271e-02	9.439105e-01	9.983964e-01	1.218516e+00	
2.580000e-01	3.220433e-02	1.649611e-01	2.465232e-02	9.406646e-01	9.983964e-01	1.218516e+00	
2.590000e-01	3.275958e-02	1.649558e-01	2.463193e-02	9.374421e-01	9.983964e-01	1.218516e+00	
2.600000e-01	3.331483e-02	1.649506e-01	2.461153e-02	9.342426e-01	9.983964e-01	1.218516e+00	
2.610000e-01	3.387007e-02	1.649453e-01	2.459114e-02	9.310658e-01	9.983964e-01	1.218516e+00	
2.620000e-01	3.442532e-02	1.649400e-01	2.457075e-02	9.279115e-01	9.983964e-01	1.218516e+00	
2.630000e-01	3.498057e-02	1.649347e-01	2.455036e-02	9.247795e-01	9.983964e-01	1.218516e+00	
2.640000e-01	3.553581e-02	1.649294e-01	2.452996e-02	9.216695e-01	9.983964e-01	1.218516e+00	
2.650000e-01	3.609106e-02	1.649242e-01	2.450957e-02	9.185812e-01	9.983964e-01	1.218516e+00	
2.660000e-01	3.664631e-02	1.649189e-01	2.448918e-02	9.155144e-01	9.983964e-01	1.218516e+00	
2.670000e-01	3.720155e-02	1.649136e-01	2.446878e-02	9.124688e-01	9.983964e-01	1.218516e+00	
2.680000e-01	3.775680e-02	1.649083e-01	2.444839e-02	9.094443e-01	9.983964e-01	1.218516e+00	
2.690000e-01	3.831205e-02	1.649031e-01	2.442800e-02	9.064405e-01	9.983964e-01	1.218516e+00	
2.700000e-01	3.886730e-02	1.648978e-01	2.440761e-02	9.034573e-01	9.983964e-01	1.218516e+00	
2.710000e-01	3.942254e-02	1.648925e-01	2.438721e-02	9.004945e-01	9.983964e-01	1.218516e+00	
2.720000e-01	3.997779e-02	1.648873e-01	2.436682e-02	8.975517e-01	9.983964e-01	1.218516e+00	
2.730000e-01	4.053304e-02	1.648820e-01	2.434643e-02	8.946288e-01	9.983964e-01	1.218516e+00	
2.740000e-01	4.108828e-02	1.648767e-01	2.432603e-02	8.917256e-01	9.983964e-01	1.218516e+00	
2.750000e-01	4.164353e-02	1.648715e-01	2.430564e-02	8.888418e-01	9.983964e-01	1.218516e+00	
2.760000e-01	4.219878e-02	1.648662e-01	2.428525e-02	8.859772e-01	9.983964e-01	1.218516e+00	
2.770000e-01	4.275403e-02	1.648609e-01	2.426485e-02	8.831317e-01	9.983964e-01	1.218516e+00	
2.780000e-01	4.330927e-02	1.648557e-01	2.424446e-02	8.803050e-01	9.983964e-01	1.218516e+00	
2.790000e-01	4.386452e-02	1.648504e-01	2.422407e-02	8.774969e-01	9.983964e-01	1.218516e+00	
2.800000e-01	4.441977e-02	1.648452e-01	2.420368e-02	8.747072e-01	9.983964e-01	1.218516e+00	
2.810000e-01	4.497501e-02	1.648399e-01	2.418328e-02	8.719358e-01	9.983964e-01	1.218516e+00	
2.820000e-01	4.553026e-02	1.648346e-01	2.416289e-02	8.691823e-01	9.983964e-01	1.218516e+00	
2.830000e-01	4.608551e-02	1.648294e-01	2.414250e-02	8.664468e-01	9.983964e-01	1.218516e+00	
2.840000e-01	4.664076e-02	1.648241e-01	2.412210e-02	8.637288e-01	9.983964e-01	1.218516e+00	
2.850000e-01	4.719600e-02	1.648189e-01	2.410171e-02	8.610283e-01	9.983964e-01	1.218516e+00	
2.860000e-01	4.775125e-02	1.648136e-01	2.408132e-02	8.583451e-01	9.983964e-01	1.218516e+00	
2.870000e-01	4.830650e-02	1.648084e-01	2.406093e-02	8.556791e-01	9.983964e-01	1.218516e+00	
2.880000e-01	4.886174e-02	1.648031e-01	2.404053e-02	8.530299e-01	9.983964e-01	1.218516e+00	
2.890000e-01	4.941699e-02	1.647979e-01	2.402014e-02	8.503975e-01	9.983964e-01	1.218516e+00	
2.900000e-01	4.997224e-02	1.647926e-01	2.399975e-02	8.477816e-01	9.983964e-01	1.218516e+00	
2.910000e-01	5.052748e-02	1.647874e-01	2.397935e-02	8.451822e-01	9.983964e-01	1.218516e+00	
2.920000e-01	5.108273e-02	1.647821e-01	2.395896e-02	8.425989e-01	9.983964e-01	1.218516e+00	
2.930000e-01	5.163798e-02	1.647769e-01	2.393857e-02	8.400318e-01	9.983964e-01	1.218516e+00	
2.940000e-01	5.219323e-02	1.647716e-01	2.391818e-02	8.374805e-01	9.983964e-01	1.218516e+00	
2.950000e-01	5.274847e-02	1.647664e-01	2.389778e-02	8.349450e-01	9.983964e-01	1.218516e+00	
2.960000e-01	5.330372e-02	1.647611e-01	2.387739e-02	8.324251e-01	9.983964e-01	1.218516e+00	
2.970000e-01	5.385897e-02	1.647559e-01	2.385700e-02	8.299206e-01	9.983964e-01	1.218516e+00	
2.980000e-01	5.441421e-02	1.647506e-01	2.383660e-02	8.274313e-01	9.983964e-01	1.218516e+00	
2.990000e-01	5.496946e-02	1.647454e-01	2.381621e-02	8.249572e-01	9.983964e-01	1.218516e+00	
3.000000e-01	5.552471e-02	1.647402e-01	2.379582e-02	8.224981e-01	9.983964e-01	1.218516e+00	
3.010000e-01	5.607996e-02	1.647349e-01	2.377543e-02	8.200537e-01	9.983964e-01	1.218516e+00	
3.020000e-01	5.663520e-02	1.647297e-01	2.375503e-02	8.176241e-01	9.983964e-01	1.218516e+00	
3.030000e-01	5.719045e-02	1.647244e-01	2.373464e-02	8.152089e-01	9.983964e-01	1.218516e+00	
3.040000e-01	5.774570e-02	1.647192e-01	2.371425e-02	8.128081e-01	9.983964e-01	1.218516e+00	
3.050000e-01	5.830094e-02	1.647139e-01	2.369385e-02	8.104216e-01	9.983964e-01	1.218516e+00	
3.060000e-01	5.885619e-02	1.647087e-01	2.367346e-02	8.080492e-01	9.983964e-01	1.218516e+00	
3.070000e-01	5.941144e-02	1.647034e-01	2.365307e-02	8.056907e-01	9.983964e-01	1.218516e+00	
3.080000e-01	5.996669e-02	1.646982e-01	2.363268e-02	8.033461e-01	9.983964e-01	1.218516e+00	
3.090000e-01	6.052193e-02	1.646930e-01	2.361228e-02	8.010151e-01	9.983964e-01	1.218516e+00	
3.100000e-01	6.107718e-02	1.646877e-01	2.359189e-02	7.986977e-01	9.983964e-01	1.218516e+00	
3.110000e-01	6.163243e-02	1.646825e-01	2.357150e-02	7.963937e-01	9.983964e-01	1.218516e+00	
3.120000e-01	6.218767e-02	1.646772e-01	2.355110e-02	7.941030e-01	9.983964e-01	1.218516e+00	
3.130000e-01	6.274292e-02	1.646720e-01	2.353071e-02	7.918255e-01	9.983964e-01	1.218516e+00	
3.140000e-01	6.329817e-02	1.646667e-01	2.351032e-02	7.895611e-01	9.983964e-01	1.218516e+00	
3.150000e-01	6.385341e-02	1.646615e-01	2.348993e-02	7.873095e-01	9.983964e-01	1.218516e+00	
3.160000e-01	6.440866e-02	1.646563e-01	2.346953e-02	7.850708e-01	9.983964e-01	1.218516e+00	
3.170000e-01	6.496391e-02	1.646510e-01	2.344914e-02	7.828447e-01	9.983964e-01	1.218516e+00	
3.180000e-01	6.551916e-02	1.646458e-01	2.342875e-02	7.806312e-01	9.983964e-01	1.218516e+00	
3.190000e-01	6.607440e-02	1.646405e-01	2.340835e-02	7.784302e-01	9.983964e-01	1.218516e+00	
3.200000e-01	6.662965e-02	1.646353e-01	2.338796e-02	7.762414e-01	9.983964e-01	1.218516e+00	
3.210000e-01	6.718490e-02	1.646301e-01	2.336757e-02	7.740649e-01	9.983964e-01	1.218516e+00	
3.220000e-01	6.774014e-02	1.646248e-01	2.334718e-02	7.719004e-01	9.983964e-01	1.218516e+00	
3.230000e-01	6.829539e-02	1.646196e-01	2.332678e-02	7.697480e-01	9.983964e-01	1.218516e+00	
3.240000e-01	6.885064e-02	1.646143e-01	2.330639e-02	7.676074e-01	9.983964e-01	1.218516e+00	
3.250000e-01	6.940589e-02	1.646091e-01	2.328600e-02	7.654785e-01	9.983964e-01	1.218516e+00	
3.260000e-01	6.996113e-02	1.646038e-01	2.326560e-02	7.633613e-01	9.983964e-01	1.218516e+00	
3.270000e-01	7.051638e-02	1.645986e-01	2.324521e-02	7.612557e-01	9.983964e-01	1.218516e+00	
3.280000e-01	7.107163e-02	1.645933e-01	2.322482e-02	7.591615e-01	9.983964e-01	1.218516e+00	
3.290000e-01	7.162687e-02	1.645881e-01	2.320443e-02	7.570786e-01	9.983964e-01	1.218516e+00	
3.300000e-01	7.218212e-02	1.645829e-01	2.318403e-02	7.550070e-01	9.983964e-01	1.218516e+00	
3.310000e-01	7.273737e-02	1.645776e-01	2.316364e-02	7.529465e-01	9.983964e-01	1.218516e+00	
