amna	amna	kod	nod	vud	mdflw	rbf	
0.000000e+00	0.000000e+00	1.649771e-01	7.749692e-02	9.505638e-01	9.983964e-01	1.218516e+00	
1.000000e-03	4.997501e-04	1.649760e-01	7.743272e-02	9.498499e-01	9.983964e-01	1.218516e+00	
2.000000e-03	9.995002e-04	1.649749e-01	7.736842e-02	9.491348e-01	9.983964e-01	1.218516e+00	
3.000000e-03	1.499250e-03	1.649737e-01	7.730412e-02	9.484197e-01	9.983964e-01	1.218516e+00	
4.000000e-03	1.999000e-03	1.649726e-01	7.723982e-02	9.477046e-01	9.983964e-01	1.218516e+00	
5.000000e-03	2.498751e-03	1.649714e-01	7.717552e-02	9.469895e-01	9.983964e-01	1.218516e+00	
6.000000e-03	2.998501e-03	1.649702e-01	7.711122e-02	9.462744e-01	9.983964e-01	1.218516e+00	
7.000000e-03	3.498251e-03	1.649691e-01	7.704692e-02	9.455593e-01	9.983964e-01	1.218516e+00	
8.000000e-03	3.998001e-03	1.649679e-01	7.698262e-02	9.448443e-01	9.983964e-01	1.218516e+00	
9.000000e-03	4.497751e-03	1.649668e-01	7.691832e-02	9.441292e-01	9.983964e-01	1.218516e+00	
1.000000e-02	4.997501e-03	1.649656e-01	7.685402e-02	9.434141e-01	9.983964e-01	1.218516e+00	
1.100000e-02	5.497251e-03	1.649645e-01	7.678972e-02	9.426990e-01	9.983964e-01	1.218516e+00	
1.200000e-02	5.997001e-03	1.649633e-01	7.672542e-02	9.419839e-01	9.983964e-01	1.218516e+00	
1.300000e-02	6.496752e-03	1.649621e-01	7.666112e-02	9.412688e-01	9.983964e-01	1.218516e+00	
1.400000e-02	6.996502e-03	1.649610e-01	7.659682e-02	9.405537e-01	9.983964e-01	1.218516e+00	
1.500000e-02	7.496252e-03	1.649598e-01	7.653252e-02	9.398386e-01	9.983964e-01	1.218516e+00	
1.600000e-02	7.996002e-03	1.649586e-01	7.646822e-02	9.391235e-01	9.983964e-01	1.218516e+00	
1.700000e-02	8.495752e-03	1.649574e-01	7.640392e-02	9.384084e-01	9.983964e-01	1.218516e+00	
1.800000e-02	8.995502e-03	1.649563e-01	7.633962e-02	9.376933e-01	9.983964e-01	1.218516e+00	
1.900000e-02	9.495252e-03	1.649551e-01	7.627532e-02	9.369782e-01	9.983964e-01	1.218516e+00	
2.000000e-02	9.995002e-03	1.649539e-01	7.621102e-02	9.362631e-01	9.983964e-01	1.218516e+00	
2.100000e-02	1.049475e-02	1.649527e-01	7.614672e-02	9.355480e-01	9.983964e-01	1.218516e+00	
2.200000e-02	1.099450e-02	1.649515e-01	7.608242e-02	9.348329e-01	9.983964e-01	1.218516e+00	
2.300000e-02	1.149425e-02	1.649504e-01	7.601812e-02	9.341178e-01	9.983964e-01	1.218516e+00	
2.400000e-02	1.199400e-02	1.649492e-01	7.595382e-02	9.334027e-01	9.983964e-01	1.218516e+00	
2.500000e-02	1.249375e-02	1.649480e-01	7.588952e-02	9.326876e-01	9.983964e-01	1.218516e+00	
2.600000e-02	1.299350e-02	1.649468e-01	7.582522e-02	9.319725e-01	9.983964e-01	1.218516e+00	
2.700000e-02	1.349325e-02	1.649456e-01	7.576092e-02	9.312574e-01	9.983964e-01	1.218516e+00	
2.800000e-02	1.399300e-02	1.649444e-01	7.569662e-02	9.305423e-01	9.983964e-01	1.218516e+00	
2.900000e-02	1.449275e-02	1.649432e-01	7.563232e-02	9.298271e-01	9.983964e-01	1.218516e+00	
