anm	anm	kod	nod	vud	mdflw	rbf	
7.990000e-01	0.000000e+00	7.499657e-02	1.000000e-09	1.038551e-01	0.000000e+00	1.559840e+00	
8.000000e-01	1.488095e-03	7.447796e-02	1.000000e-09	1.036840e-01	0.000000e+00	1.558176e+00	
8.010000e-01	2.976190e-03	7.396191e-02	1.000000e-09	1.035137e-01	0.000000e+00	1.556515e+00	
8.020000e-01	4.464286e-03	7.344840e-02	1.000000e-09	1.033444e-01	0.000000e+00	1.554858e+00	
8.030000e-01	5.952381e-03	7.293741e-02	1.000000e-09	1.031758e-01	0.000000e+00	1.553204e+00	
8.040000e-01	7.440476e-03	7.242891e-02	1.000000e-09	1.030081e-01	0.000000e+00	1.551553e+00	
8.050000e-01	8.928571e-03	7.192289e-02	1.000000e-09	1.028411e-01	0.000000e+00	1.549906e+00	
8.060000e-01	1.041667e-02	7.141932e-02	1.000000e-09	1.026750e-01	0.000000e+00	1.548263e+00	
8.070000e-01	1.190476e-02	7.091818e-02	1.000000e-09	1.025097e-01	0.000000e+00	1.546623e+00	
8.080000e-01	1.339286e-02	7.041945e-02	1.000000e-09	1.023452e-01	0.000000e+00	1.544987e+00	
8.090000e-01	1.488095e-02	6.992311e-02	1.000000e-09	1.021815e-01	0.000000e+00	1.543354e+00	
8.100000e-01	1.636905e-02	6.942914e-02	1.000000e-09	1.020185e-01	0.000000e+00	1.541724e+00	
8.110000e-01	1.785714e-02	6.893753e-02	1.000000e-09	1.018564e-01	0.000000e+00	1.540098e+00	
8.120000e-01	1.934524e-02	6.844824e-02	1.000000e-09	1.016950e-01	0.000000e+00	1.538476e+00	
8.130000e-01	2.083333e-02	6.796127e-02	1.000000e-09	1.015343e-01	0.000000e+00	1.536856e+00	
8.140000e-01	2.232143e-02	6.747659e-02	1.000000e-09	1.013744e-01	0.000000e+00	1.535240e+00	
8.150000e-01	2.380952e-02	6.699418e-02	1.000000e-09	1.012153e-01	0.000000e+00	1.533628e+00	
8.160000e-01	2.529762e-02	6.651403e-02	1.000000e-09	1.010569e-01	0.000000e+00	1.532019e+00	
8.170000e-01	2.678571e-02	6.603611e-02	1.000000e-09	1.008993e-01	0.000000e+00	1.530413e+00	
8.180000e-01	2.827381e-02	6.556041e-02	1.000000e-09	1.007423e-01	0.000000e+00	1.528811e+00	
8.190000e-01	2.976190e-02	6.508691e-02	1.000000e-09	1.005862e-01	0.000000e+00	1.527212e+00	
8.200000e-01	3.125000e-02	6.461560e-02	1.000000e-09	1.004307e-01	0.000000e+00	1.525616e+00	
8.210000e-01	3.273810e-02	6.414645e-02	1.000000e-09	1.002759e-01	0.000000e+00	1.524024e+00	
8.220000e-01	3.422619e-02	6.367944e-02	1.000000e-09	1.001219e-01	0.000000e+00	1.522435e+00	
8.230000e-01	3.571429e-02	6.321457e-02	1.000000e-09	9.996853e-02	0.000000e+00	1.520849e+00	
8.240000e-01	3.720238e-02	6.275181e-02	1.000000e-09	9.981588e-02	0.000000e+00	1.519267e+00	
8.250000e-01	3.869048e-02	6.229115e-02	1.000000e-09	9.966392e-02	0.000000e+00	1.517688e+00	
8.260000e-01	4.017857e-02	6.183257e-02	1.000000e-09	9.951265e-02	0.000000e+00	1.516112e+00	
8.270000e-01	4.166667e-02	6.137605e-02	1.000000e-09	9.936205e-02	0.000000e+00	1.514540e+00	
8.280000e-01	4.315476e-02	6.092157e-02	1.000000e-09	9.921214e-02	0.000000e+00	1.512970e+00	
8.290000e-01	4.464286e-02	6.046913e-02	1.000000e-09	9.906289e-02	0.000000e+00	1.511404e+00	
8.300000e-01	4.613095e-02	6.001871e-02	1.000000e-09	9.891431e-02	0.000000e+00	1.509842e+00	
8.310000e-01	4.761905e-02	5.957028e-02	1.000000e-09	9.876639e-02	0.000000e+00	1.508282e+00	
8.320000e-01	4.910714e-02	5.912384e-02	1.000000e-09	9.861912e-02	0.000000e+00	1.506726e+00	
8.330000e-01	5.059524e-02	5.867937e-02	1.000000e-09	9.847250e-02	0.000000e+00	1.505173e+00	
8.340000e-01	5.208333e-02	5.823685e-02	1.000000e-09	9.832653e-02	0.000000e+00	1.503623e+00	
8.350000e-01	5.357143e-02	5.779627e-02	1.000000e-09	9.818119e-02	0.000000e+00	1.502076e+00	
8.360000e-01	5.505952e-02	5.735762e-02	1.000000e-09	9.803650e-02	0.000000e+00	1.500532e+00	
8.370000e-01	5.654762e-02	5.692087e-02	1.000000e-09	9.789243e-02	0.000000e+00	1.498992e+00	
8.380000e-01	5.803571e-02	5.648602e-02	1.000000e-09	9.774898e-02	0.000000e+00	1.497455e+00	
8.390000e-01	5.952381e-02	5.605305e-02	1.000000e-09	9.760616e-02	0.000000e+00	1.495921e+00	
8.400000e-01	6.101190e-02	5.562195e-02	1.000000e-09	9.746395e-02	0.000000e+00	1.494390e+00	
