anpx	anpx	kod	nod	vud	mdflw	rbf	
-1.000000e+00	0.000000e+00	3.006988e-02	1.000000e-09	8.903510e-02	2.412994e-01	1.192016e+00	
-9.900000e-01	1.085776e-03	3.103869e-02	1.000000e-09	8.935468e-02	2.473440e-01	1.192227e+00	
-9.800000e-01	2.171553e-03	3.200857e-02	1.000000e-09	8.967461e-02	2.533903e-01	1.192438e+00	
-9.700000e-01	3.257329e-03	3.297950e-02	1.000000e-09	8.999489e-02	2.594382e-01	1.192648e+00	
-9.600000e-01	4.343105e-03	3.395147e-02	1.000000e-09	9.031552e-02	2.654878e-01	1.192859e+00	
-9.500000e-01	5.428882e-03	3.492448e-02	1.000000e-09	9.063648e-02	2.715391e-01	1.193070e+00	
-9.400000e-01	6.514658e-03	3.589852e-02	1.000000e-09	9.095779e-02	2.775921e-01	1.193281e+00	
-9.300000e-01	7.600434e-03	3.687359e-02	1.000000e-09	9.127943e-02	2.836467e-01	1.193492e+00	
-9.200000e-01	8.686211e-03	3.784966e-02	1.000000e-09	9.160141e-02	2.897030e-01	1.193703e+00	
-9.100000e-01	9.771987e-03	3.882674e-02	1.000000e-09	9.192372e-02	2.957609e-01	1.193914e+00	
-9.000000e-01	1.085776e-02	3.980482e-02	1.000000e-09	9.224636e-02	3.018206e-01	1.194125e+00	
-8.900000e-01	1.194354e-02	4.078388e-02	1.000000e-09	9.256932e-02	3.078819e-01	1.194337e+00	
-8.800000e-01	1.302932e-02	4.176393e-02	1.000000e-09	9.289261e-02	3.139448e-01	1.194548e+00	
-8.700000e-01	1.411509e-02	4.274495e-02	1.000000e-09	9.321622e-02	3.200095e-01	1.194760e+00	
-8.600000e-01	1.520087e-02	4.372694e-02	1.000000e-09	9.354015e-02	3.260758e-01	1.194971e+00	
-8.500000e-01	1.628664e-02	4.470989e-02	1.000000e-09	9.386439e-02	3.321438e-01	1.195183e+00	
-8.400000e-01	1.737242e-02	4.569379e-02	1.000000e-09	9.418895e-02	3.382135e-01	1.195394e+00	
-8.300000e-01	1.845820e-02	4.667864e-02	1.000000e-09	9.451383e-02	3.442848e-01	1.195606e+00	
