cke	cke	kod	nod	vud	mdflw	rbf	
3.000000e+00	0.000000e+00	1.012103e-02	9.306690e-03	1.438545e-01	9.983964e-01	1.218516e+00	
3.010000e+00	3.984064e-03	1.069610e-02	9.306690e-03	1.440442e-01	9.983964e-01	1.218516e+00	
3.020000e+00	7.968127e-03	1.127588e-02	9.306690e-03	1.442354e-01	9.983964e-01	1.218516e+00	
3.030000e+00	1.195219e-02	1.186042e-02	9.306690e-03	1.444282e-01	9.983964e-01	1.218516e+00	
3.040000e+00	1.593625e-02	1.244973e-02	9.306690e-03	1.446226e-01	9.983964e-01	1.218516e+00	
3.050000e+00	1.992032e-02	1.304387e-02	9.306690e-03	1.448186e-01	9.983964e-01	1.218516e+00	
3.060000e+00	2.390438e-02	1.364286e-02	9.306690e-03	1.450162e-01	9.983964e-01	1.218516e+00	
3.070000e+00	2.788845e-02	1.424672e-02	9.306690e-03	1.452154e-01	9.983964e-01	1.218516e+00	
3.080000e+00	3.187251e-02	1.485551e-02	9.306690e-03	1.454162e-01	9.983964e-01	1.218516e+00	
3.090000e+00	3.585657e-02	1.546925e-02	9.306690e-03	1.456187e-01	9.983964e-01	1.218516e+00	
3.100000e+00	3.984064e-02	1.608797e-02	9.306690e-03	1.458228e-01	9.983964e-01	1.218516e+00	
3.110000e+00	4.382470e-02	1.671171e-02	9.306690e-03	1.460285e-01	9.983964e-01	1.218516e+00	
3.120000e+00	4.780876e-02	1.734050e-02	9.306690e-03	1.462360e-01	9.983964e-01	1.218516e+00	
3.130000e+00	5.179283e-02	1.797438e-02	9.306690e-03	1.464451e-01	9.983964e-01	1.218516e+00	
3.140000e+00	5.577689e-02	1.861338e-02	9.306690e-03	1.466558e-01	9.983964e-01	1.218516e+00	
3.150000e+00	5.976096e-02	1.925754e-02	9.306690e-03	1.468683e-01	9.983964e-01	1.218516e+00	
3.160000e+00	6.374502e-02	1.990689e-02	9.306690e-03	1.470825e-01	9.983964e-01	1.218516e+00	
3.170000e+00	6.772908e-02	2.056146e-02	9.306690e-03	1.472985e-01	9.983964e-01	1.218516e+00	
3.180000e+00	7.171315e-02	2.122128e-02	9.306690e-03	1.475161e-01	9.983964e-01	1.218516e+00	
3.190000e+00	7.569721e-02	2.188641e-02	9.306690e-03	1.477355e-01	9.983964e-01	1.218516e+00	
3.200000e+00	7.968127e-02	2.255686e-02	9.306690e-03	1.479567e-01	9.983964e-01	1.218516e+00	
3.210000e+00	8.366534e-02	2.323268e-02	9.306690e-03	1.481796e-01	9.983964e-01	1.218516e+00	
3.220000e+00	8.764940e-02	2.391389e-02	9.306690e-03	1.484043e-01	9.983964e-01	1.218516e+00	
3.230000e+00	9.163347e-02	2.460054e-02	9.306690e-03	1.486308e-01	9.983964e-01	1.218516e+00	
3.240000e+00	9.561753e-02	2.529267e-02	9.306690e-03	1.488591e-01	9.983964e-01	1.218516e+00	
3.250000e+00	9.960159e-02	2.599029e-02	9.306690e-03	1.490893e-01	9.983964e-01	1.218516e+00	
3.260000e+00	1.035857e-01	2.669346e-02	9.306690e-03	1.493212e-01	9.983964e-01	1.218516e+00	
3.270000e+00	1.075697e-01	2.740221e-02	9.306690e-03	1.495550e-01	9.983964e-01	1.218516e+00	
3.280000e+00	1.115538e-01	2.811657e-02	9.306690e-03	1.497907e-01	9.983964e-01	1.218516e+00	
3.290000e+00	1.155378e-01	2.883658e-02	9.306690e-03	1.500282e-01	9.983964e-01	1.218516e+00	
3.300000e+00	1.195219e-01	2.956228e-02	9.306690e-03	1.502676e-01	9.983964e-01	1.218516e+00	
3.310000e+00	1.235060e-01	3.029370e-02	9.306690e-03	1.505088e-01	9.983964e-01	1.218516e+00	
3.320000e+00	1.274900e-01	3.103088e-02	9.306690e-03	1.507520e-01	9.983964e-01	1.218516e+00	
3.330000e+00	1.314741e-01	3.177386e-02	9.306690e-03	1.509971e-01	9.983964e-01	1.218516e+00	
3.340000e+00	1.354582e-01	3.252266e-02	9.306690e-03	1.512441e-01	9.983964e-01	1.218516e+00	
3.350000e+00	1.394422e-01	3.327734e-02	9.306690e-03	1.514930e-01	9.983964e-01	1.218516e+00	
3.360000e+00	1.434263e-01	3.403793e-02	9.306690e-03	1.517439e-01	9.983964e-01	1.218516e+00	
3.370000e+00	1.474104e-01	3.480446e-02	9.306690e-03	1.519968e-01	9.983964e-01	1.218516e+00	
3.380000e+00	1.513944e-01	3.557697e-02	9.306690e-03	1.522516e-01	9.983964e-01	1.218516e+00	
3.390000e+00	1.553785e-01	3.635549e-02	9.306690e-03	1.525084e-01	9.983964e-01	1.218516e+00	
3.400000e+00	1.593625e-01	3.714008e-02	9.306690e-03	1.527672e-01	9.983964e-01	1.218516e+00	
3.410000e+00	1.633466e-01	3.793076e-02	9.306690e-03	1.530281e-01	9.983964e-01	1.218516e+00	
3.420000e+00	1.673307e-01	3.872757e-02	9.306690e-03	1.532909e-01	9.983964e-01	1.218516e+00	
3.430000e+00	1.713147e-01	3.953055e-02	9.306690e-03	1.535558e-01	9.983964e-01	1.218516e+00	
3.440000e+00	1.752988e-01	4.033973e-02	9.306690e-03	1.538227e-01	9.983964e-01	1.218516e+00	
3.450000e+00	1.792829e-01	4.115517e-02	9.306690e-03	1.540917e-01	9.983964e-01	1.218516e+00	
3.460000e+00	1.832669e-01	4.197688e-02	9.306690e-03	1.543628e-01	9.983964e-01	1.218516e+00	
3.470000e+00	1.872510e-01	4.280492e-02	9.306690e-03	1.546359e-01	9.983964e-01	1.218516e+00	
3.480000e+00	1.912351e-01	4.363933e-02	9.306690e-03	1.549111e-01	9.983964e-01	1.218516e+00	
3.490000e+00	1.952191e-01	4.448013e-02	9.306690e-03	1.551885e-01	9.983964e-01	1.218516e+00	
3.500000e+00	1.992032e-01	4.532737e-02	9.306690e-03	1.554680e-01	9.983964e-01	1.218516e+00	
3.510000e+00	2.031873e-01	4.618108e-02	9.306690e-03	1.557496e-01	9.983964e-01	1.218516e+00	
3.520000e+00	2.071713e-01	4.704132e-02	9.306690e-03	1.560334e-01	9.983964e-01	1.218516e+00	
3.530000e+00	2.111554e-01	4.790811e-02	9.306690e-03	1.563193e-01	9.983964e-01	1.218516e+00	
3.540000e+00	2.151394e-01	4.878149e-02	9.306690e-03	1.566074e-01	9.983964e-01	1.218516e+00	
3.550000e+00	2.191235e-01	4.966151e-02	9.306690e-03	1.568977e-01	9.983964e-01	1.218516e+00	
3.560000e+00	2.231076e-01	5.054821e-02	9.306690e-03	1.571902e-01	9.983964e-01	1.218516e+00	
3.570000e+00	2.270916e-01	5.144162e-02	9.306690e-03	1.574849e-01	9.983964e-01	1.218516e+00	
3.580000e+00	2.310757e-01	5.234178e-02	9.306690e-03	1.577818e-01	9.983964e-01	1.218516e+00	
3.590000e+00	2.350598e-01	5.324873e-02	9.306690e-03	1.580810e-01	9.983964e-01	1.218516e+00	
3.600000e+00	2.390438e-01	5.416252e-02	9.306690e-03	1.583824e-01	9.983964e-01	1.218516e+00	
3.610000e+00	2.430279e-01	5.508318e-02	9.306690e-03	1.586861e-01	9.983964e-01	1.218516e+00	
3.620000e+00	2.470120e-01	5.601076e-02	9.306690e-03	1.589921e-01	9.983964e-01	1.218516e+00	
3.630000e+00	2.509960e-01	5.694529e-02	9.306690e-03	1.593004e-01	9.983964e-01	1.218516e+00	
3.640000e+00	2.549801e-01	5.788682e-02	9.306690e-03	1.596110e-01	9.983964e-01	1.218516e+00	
3.650000e+00	2.589641e-01	5.883538e-02	9.306690e-03	1.599239e-01	9.983964e-01	1.218516e+00	
3.660000e+00	2.629482e-01	5.979102e-02	9.306690e-03	1.602391e-01	9.983964e-01	1.218516e+00	
3.670000e+00	2.669323e-01	6.075378e-02	9.306690e-03	1.605567e-01	9.983964e-01	1.218516e+00	
3.680000e+00	2.709163e-01	6.172370e-02	9.306690e-03	1.608766e-01	9.983964e-01	1.218516e+00	
3.690000e+00	2.749004e-01	6.270081e-02	9.306690e-03	1.611990e-01	9.983964e-01	1.218516e+00	
3.700000e+00	2.788845e-01	6.368517e-02	9.306690e-03	1.615237e-01	9.983964e-01	1.218516e+00	
3.710000e+00	2.828685e-01	6.467681e-02	9.306690e-03	1.618508e-01	9.983964e-01	1.218516e+00	
3.720000e+00	2.868526e-01	6.567577e-02	9.306690e-03	1.621803e-01	9.983964e-01	1.218516e+00	
3.730000e+00	2.908367e-01	6.668210e-02	9.306690e-03	1.625123e-01	9.983964e-01	1.218516e+00	
3.740000e+00	2.948207e-01	6.769584e-02	9.306690e-03	1.628467e-01	9.983964e-01	1.218516e+00	
3.750000e+00	2.988048e-01	6.871702e-02	9.306690e-03	1.631835e-01	9.983964e-01	1.218516e+00	
3.760000e+00	3.027888e-01	6.974570e-02	9.306690e-03	1.635228e-01	9.983964e-01	1.218516e+00	
3.770000e+00	3.067729e-01	7.078191e-02	9.306690e-03	1.638647e-01	9.983964e-01	1.218516e+00	
3.780000e+00	3.107570e-01	7.182570e-02	9.306690e-03	1.642090e-01	9.983964e-01	1.218516e+00	
3.790000e+00	3.147410e-01	7.287711e-02	9.306690e-03	1.645558e-01	9.983964e-01	1.218516e+00	
3.800000e+00	3.187251e-01	7.393617e-02	9.306690e-03	1.649052e-01	9.983964e-01	1.218516e+00	
3.810000e+00	3.227092e-01	7.500294e-02	9.306690e-03	1.652571e-01	9.983964e-01	1.218516e+00	
3.820000e+00	3.266932e-01	7.607746e-02	9.306690e-03	1.656115e-01	9.983964e-01	1.218516e+00	
3.830000e+00	3.306773e-01	7.715977e-02	9.306690e-03	1.659685e-01	9.983964e-01	1.218516e+00	
3.840000e+00	3.346614e-01	7.824990e-02	9.306690e-03	1.663281e-01	9.983964e-01	1.218516e+00	
3.850000e+00	3.386454e-01	7.934792e-02	9.306690e-03	1.666903e-01	9.983964e-01	1.218516e+00	
3.860000e+00	3.426295e-01	8.045385e-02	9.306690e-03	1.670551e-01	9.983964e-01	1.218516e+00	
