cna	cna	kod	nod	vud	mdflw	rbf	
1.300000e+02	0.000000e+00	1.565165e-01	1.893508e-03	1.432382e-01	9.983964e-01	1.218516e+00	
1.301000e+02	4.975124e-03	1.565445e-01	1.955028e-03	1.436533e-01	9.983964e-01	1.218516e+00	
1.302000e+02	9.950249e-03	1.565724e-01	2.016548e-03	1.440684e-01	9.983964e-01	1.218516e+00	
1.303000e+02	1.492537e-02	1.566001e-01	2.078069e-03	1.444834e-01	9.983964e-01	1.218516e+00	
1.304000e+02	1.990050e-02	1.566276e-01	2.139589e-03	1.448984e-01	9.983964e-01	1.218516e+00	
1.305000e+02	2.487562e-02	1.566551e-01	2.201109e-03	1.453133e-01	9.983964e-01	1.218516e+00	
1.306000e+02	2.985075e-02	1.566823e-01	2.262629e-03	1.457282e-01	9.983964e-01	1.218516e+00	
1.307000e+02	3.482587e-02	1.567094e-01	2.324149e-03	1.461430e-01	9.983964e-01	1.218516e+00	
1.308000e+02	3.980100e-02	1.567364e-01	2.385670e-03	1.465577e-01	9.983964e-01	1.218516e+00	
1.309000e+02	4.477612e-02	1.567632e-01	2.447190e-03	1.469724e-01	9.983964e-01	1.218516e+00	
1.310000e+02	4.975124e-02	1.567898e-01	2.508710e-03	1.473871e-01	9.983964e-01	1.218516e+00	
1.311000e+02	5.472637e-02	1.568163e-01	2.570230e-03	1.478017e-01	9.983964e-01	1.218516e+00	
1.312000e+02	5.970149e-02	1.568427e-01	2.631750e-03	1.482163e-01	9.983964e-01	1.218516e+00	
1.313000e+02	6.467662e-02	1.568689e-01	2.693270e-03	1.486308e-01	9.983964e-01	1.218516e+00	
1.314000e+02	6.965174e-02	1.568950e-01	2.754791e-03	1.490453e-01	9.983964e-01	1.218516e+00	
1.315000e+02	7.462687e-02	1.569210e-01	2.816311e-03	1.494597e-01	9.983964e-01	1.218516e+00	
1.316000e+02	7.960199e-02	1.569468e-01	2.877831e-03	1.498741e-01	9.983964e-01	1.218516e+00	
1.317000e+02	8.457711e-02	1.569724e-01	2.939351e-03	1.502885e-01	9.983964e-01	1.218516e+00	
1.318000e+02	8.955224e-02	1.569980e-01	3.000871e-03	1.507028e-01	9.983964e-01	1.218516e+00	
1.319000e+02	9.452736e-02	1.570234e-01	3.062392e-03	1.511170e-01	9.983964e-01	1.218516e+00	
1.320000e+02	9.950249e-02	1.570486e-01	3.123912e-03	1.515312e-01	9.983964e-01	1.218516e+00	
1.321000e+02	1.044776e-01	1.570737e-01	3.185432e-03	1.519454e-01	9.983964e-01	1.218516e+00	
1.322000e+02	1.094527e-01	1.570987e-01	3.246952e-03	1.523595e-01	9.983964e-01	1.218516e+00	
1.323000e+02	1.144279e-01	1.571236e-01	3.308472e-03	1.527736e-01	9.983964e-01	1.218516e+00	
1.324000e+02	1.194030e-01	1.571483e-01	3.369992e-03	1.531876e-01	9.983964e-01	1.218516e+00	
1.325000e+02	1.243781e-01	1.571729e-01	3.431513e-03	1.536016e-01	9.983964e-01	1.218516e+00	
1.326000e+02	1.293532e-01	1.571974e-01	3.493033e-03	1.540155e-01	9.983964e-01	1.218516e+00	
1.327000e+02	1.343284e-01	1.572217e-01	3.554553e-03	1.544294e-01	9.983964e-01	1.218516e+00	
1.328000e+02	1.393035e-01	1.572459e-01	3.616073e-03	1.548433e-01	9.983964e-01	1.218516e+00	
1.329000e+02	1.442786e-01	1.572700e-01	3.677593e-03	1.552571e-01	9.983964e-01	1.218516e+00	
1.330000e+02	1.492537e-01	1.572939e-01	3.739114e-03	1.556709e-01	9.983964e-01	1.218516e+00	
1.331000e+02	1.542289e-01	1.573178e-01	3.800634e-03	1.560846e-01	9.983964e-01	1.218516e+00	
1.332000e+02	1.592040e-01	1.573415e-01	3.862154e-03	1.564983e-01	9.983964e-01	1.218516e+00	
1.333000e+02	1.641791e-01	1.573651e-01	3.923674e-03	1.569119e-01	9.983964e-01	1.218516e+00	
1.334000e+02	1.691542e-01	1.573885e-01	3.985194e-03	1.573256e-01	9.983964e-01	1.218516e+00	
1.335000e+02	1.741294e-01	1.574119e-01	4.046715e-03	1.577391e-01	9.983964e-01	1.218516e+00	
1.336000e+02	1.791045e-01	1.574351e-01	4.108235e-03	1.581527e-01	9.983964e-01	1.218516e+00	
1.337000e+02	1.840796e-01	1.574582e-01	4.169755e-03	1.585662e-01	9.983964e-01	1.218516e+00	
1.338000e+02	1.890547e-01	1.574812e-01	4.231275e-03	1.589796e-01	9.983964e-01	1.218516e+00	
1.339000e+02	1.940299e-01	1.575041e-01	4.292795e-03	1.593930e-01	9.983964e-01	1.218516e+00	
1.340000e+02	1.990050e-01	1.575269e-01	4.354315e-03	1.598064e-01	9.983964e-01	1.218516e+00	
1.341000e+02	2.039801e-01	1.575495e-01	4.415836e-03	1.602198e-01	9.983964e-01	1.218516e+00	
1.342000e+02	2.089552e-01	1.575720e-01	4.477356e-03	1.606331e-01	9.983964e-01	1.218516e+00	
1.343000e+02	2.139303e-01	1.575945e-01	4.538876e-03	1.610463e-01	9.983964e-01	1.218516e+00	
1.344000e+02	2.189055e-01	1.576168e-01	4.600396e-03	1.614596e-01	9.983964e-01	1.218516e+00	
1.345000e+02	2.238806e-01	1.576389e-01	4.661916e-03	1.618728e-01	9.983964e-01	1.218516e+00	
1.346000e+02	2.288557e-01	1.576610e-01	4.723437e-03	1.622859e-01	9.983964e-01	1.218516e+00	
1.347000e+02	2.338308e-01	1.576830e-01	4.784957e-03	1.626990e-01	9.983964e-01	1.218516e+00	
1.348000e+02	2.388060e-01	1.577049e-01	4.846477e-03	1.631121e-01	9.983964e-01	1.218516e+00	
1.349000e+02	2.437811e-01	1.577266e-01	4.907997e-03	1.635252e-01	9.983964e-01	1.218516e+00	
1.350000e+02	2.487562e-01	1.577483e-01	4.969517e-03	1.639382e-01	9.983964e-01	1.218516e+00	
1.351000e+02	2.537313e-01	1.577698e-01	5.031037e-03	1.643512e-01	9.983964e-01	1.218516e+00	
1.352000e+02	2.587065e-01	1.577913e-01	5.092558e-03	1.647641e-01	9.983964e-01	1.218516e+00	
1.353000e+02	2.636816e-01	1.578126e-01	5.154078e-03	1.651770e-01	9.983964e-01	1.218516e+00	
1.354000e+02	2.686567e-01	1.578338e-01	5.215598e-03	1.655899e-01	9.983964e-01	1.218516e+00	
1.355000e+02	2.736318e-01	1.578549e-01	5.277118e-03	1.660027e-01	9.983964e-01	1.218516e+00	
1.356000e+02	2.786070e-01	1.578760e-01	5.338638e-03	1.664155e-01	9.983964e-01	1.218516e+00	
1.357000e+02	2.835821e-01	1.578969e-01	5.400159e-03	1.668283e-01	9.983964e-01	1.218516e+00	
1.358000e+02	2.885572e-01	1.579177e-01	5.461679e-03	1.672411e-01	9.983964e-01	1.218516e+00	
1.359000e+02	2.935323e-01	1.579384e-01	5.523199e-03	1.676538e-01	9.983964e-01	1.218516e+00	
1.360000e+02	2.985075e-01	1.579590e-01	5.584719e-03	1.680664e-01	9.983964e-01	1.218516e+00	
1.361000e+02	3.034826e-01	1.579795e-01	5.646239e-03	1.684791e-01	9.983964e-01	1.218516e+00	
1.362000e+02	3.084577e-01	1.580000e-01	5.707760e-03	1.688917e-01	9.983964e-01	1.218516e+00	
1.363000e+02	3.134328e-01	1.580203e-01	5.769280e-03	1.693043e-01	9.983964e-01	1.218516e+00	
1.364000e+02	3.184080e-01	1.580405e-01	5.830800e-03	1.697168e-01	9.983964e-01	1.218516e+00	
1.365000e+02	3.233831e-01	1.580606e-01	5.892320e-03	1.701293e-01	9.983964e-01	1.218516e+00	
1.366000e+02	3.283582e-01	1.580807e-01	5.953840e-03	1.705418e-01	9.983964e-01	1.218516e+00	
1.367000e+02	3.333333e-01	1.581006e-01	6.015360e-03	1.709542e-01	9.983964e-01	1.218516e+00	
1.368000e+02	3.383085e-01	1.581204e-01	6.076881e-03	1.713667e-01	9.983964e-01	1.218516e+00	
1.369000e+02	3.432836e-01	1.581402e-01	6.138401e-03	1.717791e-01	9.983964e-01	1.218516e+00	
1.370000e+02	3.482587e-01	1.581598e-01	6.199921e-03	1.721914e-01	9.983964e-01	1.218516e+00	
1.371000e+02	3.532338e-01	1.581794e-01	6.261441e-03	1.726037e-01	9.983964e-01	1.218516e+00	
1.372000e+02	3.582090e-01	1.591327e-01	6.322961e-03	1.733241e-01	9.983964e-01	1.218516e+00	
1.373000e+02	3.631841e-01	1.591327e-01	6.384482e-03	1.737299e-01	9.983964e-01	1.218516e+00	
1.374000e+02	3.681592e-01	1.591327e-01	6.446002e-03	1.741358e-01	9.983964e-01	1.218516e+00	
1.375000e+02	3.731343e-01	1.591327e-01	6.507522e-03	1.745417e-01	9.983964e-01	1.218516e+00	
1.376000e+02	3.781095e-01	1.591327e-01	6.569042e-03	1.749476e-01	9.983964e-01	1.218516e+00	
1.377000e+02	3.830846e-01	1.591327e-01	6.630562e-03	1.753534e-01	9.983964e-01	1.218516e+00	
1.378000e+02	3.880597e-01	1.591327e-01	6.692083e-03	1.757593e-01	9.983964e-01	1.218516e+00	
1.379000e+02	3.930348e-01	1.591327e-01	6.753603e-03	1.761652e-01	9.983964e-01	1.218516e+00	
1.380000e+02	3.980100e-01	1.591327e-01	6.815123e-03	1.765710e-01	9.983964e-01	1.218516e+00	
1.381000e+02	4.029851e-01	1.591327e-01	6.876643e-03	1.769769e-01	9.983964e-01	1.218516e+00	
1.382000e+02	4.079602e-01	1.591327e-01	6.938163e-03	1.773828e-01	9.983964e-01	1.218516e+00	
1.383000e+02	4.129353e-01	1.591327e-01	6.999683e-03	1.777887e-01	9.983964e-01	1.218516e+00	
1.384000e+02	4.179104e-01	1.591327e-01	7.061204e-03	1.781945e-01	9.983964e-01	1.218516e+00	
1.385000e+02	4.228856e-01	1.591327e-01	7.122724e-03	1.786004e-01	9.983964e-01	1.218516e+00	
1.386000e+02	4.278607e-01	1.591327e-01	7.184244e-03	1.790063e-01	9.983964e-01	1.218516e+00	
1.387000e+02	4.328358e-01	1.591327e-01	7.245764e-03	1.794122e-01	9.983964e-01	1.218516e+00	
1.388000e+02	4.378109e-01	1.591327e-01	7.307284e-03	1.798180e-01	9.983964e-01	1.218516e+00	
1.389000e+02	4.427861e-01	1.591327e-01	7.368805e-03	1.802239e-01	9.983964e-01	1.218516e+00	
1.390000e+02	4.477612e-01	1.591327e-01	7.430325e-03	1.806298e-01	9.983964e-01	1.218516e+00	
1.391000e+02	4.527363e-01	1.591327e-01	7.491845e-03	1.810357e-01	9.983964e-01	1.218516e+00	
1.392000e+02	4.577114e-01	1.591327e-01	7.553365e-03	1.814415e-01	9.983964e-01	1.218516e+00	
1.393000e+02	4.626866e-01	1.591327e-01	7.614885e-03	1.818474e-01	9.983964e-01	1.218516e+00	
1.394000e+02	4.676617e-01	1.591327e-01	7.676405e-03	1.822533e-01	9.983964e-01	1.218516e+00	
1.395000e+02	4.726368e-01	1.591327e-01	7.737926e-03	1.826591e-01	9.983964e-01	1.218516e+00	
1.396000e+02	4.776119e-01	1.591327e-01	7.799446e-03	1.830650e-01	9.983964e-01	1.218516e+00	
1.397000e+02	4.825871e-01	1.591327e-01	7.860966e-03	1.834709e-01	9.983964e-01	1.218516e+00	
1.398000e+02	4.875622e-01	1.591327e-01	7.922486e-03	1.838768e-01	9.983964e-01	1.218516e+00	
1.399000e+02	4.925373e-01	1.591327e-01	7.984006e-03	1.842826e-01	9.983964e-01	1.218516e+00	
1.400000e+02	4.975124e-01	1.591327e-01	8.045527e-03	1.846885e-01	9.983964e-01	1.218516e+00	
1.401000e+02	5.024876e-01	1.591327e-01	8.107047e-03	1.850944e-01	9.983964e-01	1.218516e+00	
1.402000e+02	5.074627e-01	1.591327e-01	8.168567e-03	1.855003e-01	9.983964e-01	1.218516e+00	
1.403000e+02	5.124378e-01	1.591327e-01	8.230087e-03	1.859061e-01	9.983964e-01	1.218516e+00	
1.404000e+02	5.174129e-01	1.591327e-01	8.291607e-03	1.863120e-01	9.983964e-01	1.218516e+00	
1.405000e+02	5.223881e-01	1.591327e-01	8.353128e-03	1.867179e-01	9.983964e-01	1.218516e+00	
1.406000e+02	5.273632e-01	1.591327e-01	8.414648e-03	1.871237e-01	9.983964e-01	1.218516e+00	
1.407000e+02	5.323383e-01	1.591327e-01	8.476168e-03	1.875296e-01	9.983964e-01	1.218516e+00	
1.408000e+02	5.373134e-01	1.591327e-01	8.537688e-03	1.879355e-01	9.983964e-01	1.218516e+00	
1.409000e+02	5.422886e-01	1.591327e-01	8.599208e-03	1.883414e-01	9.983964e-01	1.218516e+00	
1.410000e+02	5.472637e-01	1.591327e-01	8.660728e-03	1.887472e-01	9.983964e-01	1.218516e+00	
1.411000e+02	5.522388e-01	1.591327e-01	8.722249e-03	1.891531e-01	9.983964e-01	1.218516e+00	
1.412000e+02	5.572139e-01	1.591327e-01	8.783769e-03	1.895590e-01	9.983964e-01	1.218516e+00	
1.413000e+02	5.621891e-01	1.591327e-01	8.845289e-03	1.899649e-01	9.983964e-01	1.218516e+00	
1.414000e+02	5.671642e-01	1.591327e-01	8.906809e-03	1.903707e-01	9.983964e-01	1.218516e+00	
1.415000e+02	5.721393e-01	1.591327e-01	8.968329e-03	1.907766e-01	9.983964e-01	1.218516e+00	
1.416000e+02	5.771144e-01	1.591327e-01	9.029850e-03	1.911825e-01	9.983964e-01	1.218516e+00	
1.417000e+02	5.820896e-01	1.591327e-01	9.091370e-03	1.915883e-01	9.983964e-01	1.218516e+00	
1.418000e+02	5.870647e-01	1.591327e-01	9.152890e-03	1.919942e-01	9.983964e-01	1.218516e+00	
1.419000e+02	5.920398e-01	1.591327e-01	9.214410e-03	1.924001e-01	9.983964e-01	1.218516e+00	
1.420000e+02	5.970149e-01	1.591327e-01	9.275930e-03	1.928060e-01	9.983964e-01	1.218516e+00	
1.421000e+02	6.019900e-01	1.591327e-01	9.337450e-03	1.932118e-01	9.983964e-01	1.218516e+00	
1.422000e+02	6.069652e-01	1.591327e-01	9.398971e-03	1.936177e-01	9.983964e-01	1.218516e+00	
1.423000e+02	6.119403e-01	1.591327e-01	9.460491e-03	1.940236e-01	9.983964e-01	1.218516e+00	
1.424000e+02	6.169154e-01	1.591327e-01	9.522011e-03	1.944295e-01	9.983964e-01	1.218516e+00	
1.425000e+02	6.218905e-01	1.591327e-01	9.583531e-03	1.948353e-01	9.983964e-01	1.218516e+00	
1.426000e+02	6.268657e-01	1.591327e-01	9.645051e-03	1.952412e-01	9.983964e-01	1.218516e+00	
1.427000e+02	6.318408e-01	1.591327e-01	9.706572e-03	1.956471e-01	9.983964e-01	1.218516e+00	
1.428000e+02	6.368159e-01	1.591327e-01	9.768092e-03	1.960529e-01	9.983964e-01	1.218516e+00	
1.429000e+02	6.417910e-01	1.591327e-01	9.829612e-03	1.964588e-01	9.983964e-01	1.218516e+00	
1.430000e+02	6.467662e-01	1.591327e-01	9.891132e-03	1.968647e-01	9.983964e-01	1.218516e+00	
1.431000e+02	6.517413e-01	1.591327e-01	9.952652e-03	1.972706e-01	9.983964e-01	1.218516e+00	
1.432000e+02	6.567164e-01	1.591327e-01	1.001417e-02	1.976764e-01	9.983964e-01	1.218516e+00	
1.433000e+02	6.616915e-01	1.591327e-01	1.007569e-02	1.981921e-01	9.983964e-01	1.218516e+00	
1.434000e+02	6.666667e-01	1.591327e-01	1.013721e-02	1.988757e-01	9.983964e-01	1.218516e+00	
1.435000e+02	6.716418e-01	1.591327e-01	1.019873e-02	1.995592e-01	9.983964e-01	1.218516e+00	
1.436000e+02	6.766169e-01	1.591327e-01	1.026025e-02	2.002428e-01	9.983964e-01	1.218516e+00	
1.437000e+02	6.815920e-01	1.591327e-01	1.032177e-02	2.009263e-01	9.983964e-01	1.218516e+00	
1.438000e+02	6.865672e-01	1.591327e-01	1.038329e-02	2.016099e-01	9.983964e-01	1.218516e+00	
1.439000e+02	6.915423e-01	1.591327e-01	1.044481e-02	2.022935e-01	9.983964e-01	1.218516e+00	
1.440000e+02	6.965174e-01	1.591327e-01	1.050633e-02	2.029770e-01	9.983964e-01	1.218516e+00	
1.441000e+02	7.014925e-01	1.591327e-01	1.056785e-02	2.036606e-01	9.983964e-01	1.218516e+00	
1.442000e+02	7.064677e-01	1.591327e-01	1.062937e-02	2.043441e-01	9.983964e-01	1.218516e+00	
1.443000e+02	7.114428e-01	1.591327e-01	1.069089e-02	2.050277e-01	9.983964e-01	1.218516e+00	
1.444000e+02	7.164179e-01	1.591327e-01	1.075241e-02	2.057113e-01	9.983964e-01	1.218516e+00	
1.445000e+02	7.213930e-01	1.591327e-01	1.081393e-02	2.063948e-01	9.983964e-01	1.218516e+00	
1.446000e+02	7.263682e-01	1.591327e-01	1.087546e-02	2.070784e-01	9.983964e-01	1.218516e+00	
1.447000e+02	7.313433e-01	1.591327e-01	1.093698e-02	2.077619e-01	9.983964e-01	1.218516e+00	
1.448000e+02	7.363184e-01	1.591327e-01	1.099850e-02	2.084455e-01	9.983964e-01	1.218516e+00	
1.449000e+02	7.412935e-01	1.591327e-01	1.106002e-02	2.091290e-01	9.983964e-01	1.218516e+00	
1.450000e+02	7.462687e-01	1.591327e-01	1.112154e-02	2.098126e-01	9.983964e-01	1.218516e+00	
1.451000e+02	7.512438e-01	1.591327e-01	1.118306e-02	2.104962e-01	9.983964e-01	1.218516e+00	
1.452000e+02	7.562189e-01	1.591327e-01	1.124458e-02	2.111797e-01	9.983964e-01	1.218516e+00	
1.453000e+02	7.611940e-01	1.591327e-01	1.130610e-02	2.118633e-01	9.983964e-01	1.218516e+00	
1.454000e+02	7.661692e-01	1.591327e-01	1.136762e-02	2.125468e-01	9.983964e-01	1.218516e+00	
1.455000e+02	7.711443e-01	1.591327e-01	1.142914e-02	2.132304e-01	9.983964e-01	1.218516e+00	
1.456000e+02	7.761194e-01	1.597731e-01	1.149066e-02	2.142697e-01	9.983964e-01	1.218516e+00	
1.457000e+02	7.810945e-01	1.597945e-01	1.155218e-02	2.149652e-01	9.983964e-01	1.218516e+00	
1.458000e+02	7.860697e-01	1.598158e-01	1.161370e-02	2.156605e-01	9.983964e-01	1.218516e+00	
1.459000e+02	7.910448e-01	1.598369e-01	1.167522e-02	2.163558e-01	9.983964e-01	1.218516e+00	
1.460000e+02	7.960199e-01	1.598579e-01	1.173674e-02	2.170511e-01	9.983964e-01	1.218516e+00	
1.461000e+02	8.009950e-01	1.598788e-01	1.179826e-02	2.177462e-01	9.983964e-01	1.218516e+00	
1.462000e+02	8.059701e-01	1.598995e-01	1.185978e-02	2.184413e-01	9.983964e-01	1.218516e+00	
1.463000e+02	8.109453e-01	1.599201e-01	1.192130e-02	2.191363e-01	9.983964e-01	1.218516e+00	
1.464000e+02	8.159204e-01	1.599406e-01	1.198282e-02	2.198313e-01	9.983964e-01	1.218516e+00	
1.465000e+02	8.208955e-01	1.599610e-01	1.204434e-02	2.205261e-01	9.983964e-01	1.218516e+00	
1.466000e+02	8.258706e-01	1.599812e-01	1.210586e-02	2.212209e-01	9.983964e-01	1.218516e+00	
1.467000e+02	8.308458e-01	1.600013e-01	1.216738e-02	2.219157e-01	9.983964e-01	1.218516e+00	
1.468000e+02	8.358209e-01	1.600213e-01	1.222890e-02	2.226103e-01	9.983964e-01	1.218516e+00	
1.469000e+02	8.407960e-01	1.600412e-01	1.229042e-02	2.233049e-01	9.983964e-01	1.218516e+00	
1.470000e+02	8.457711e-01	1.600609e-01	1.235194e-02	2.239994e-01	9.983964e-01	1.218516e+00	
1.471000e+02	8.507463e-01	1.600805e-01	1.241346e-02	2.246939e-01	9.983964e-01	1.218516e+00	
1.472000e+02	8.557214e-01	1.601000e-01	1.247498e-02	2.253883e-01	9.983964e-01	1.218516e+00	
1.473000e+02	8.606965e-01	1.601194e-01	1.253650e-02	2.260826e-01	9.983964e-01	1.218516e+00	
1.474000e+02	8.656716e-01	1.601387e-01	1.259802e-02	2.267769e-01	9.983964e-01	1.218516e+00	
1.475000e+02	8.706468e-01	1.601578e-01	1.265954e-02	2.274711e-01	9.983964e-01	1.218516e+00	
1.476000e+02	8.756219e-01	1.601769e-01	1.272106e-02	2.281652e-01	9.983964e-01	1.218516e+00	
1.477000e+02	8.805970e-01	1.601958e-01	1.278258e-02	2.288593e-01	9.983964e-01	1.218516e+00	
1.478000e+02	8.855721e-01	1.602146e-01	1.284410e-02	2.295533e-01	9.983964e-01	1.218516e+00	
1.479000e+02	8.905473e-01	1.602333e-01	1.290562e-02	2.302472e-01	9.983964e-01	1.218516e+00	
1.480000e+02	8.955224e-01	1.602519e-01	1.296714e-02	2.309411e-01	9.983964e-01	1.218516e+00	
1.481000e+02	9.004975e-01	1.602703e-01	1.302866e-02	2.316349e-01	9.983964e-01	1.218516e+00	
1.482000e+02	9.054726e-01	1.602887e-01	1.309018e-02	2.323287e-01	9.983964e-01	1.218516e+00	
1.483000e+02	9.104478e-01	1.603070e-01	1.315170e-02	2.330224e-01	9.983964e-01	1.218516e+00	
1.484000e+02	9.154229e-01	1.603251e-01	1.321322e-02	2.337160e-01	9.983964e-01	1.218516e+00	
1.485000e+02	9.203980e-01	1.603432e-01	1.327474e-02	2.344096e-01	9.983964e-01	1.218516e+00	
1.486000e+02	9.253731e-01	1.603611e-01	1.333626e-02	2.351031e-01	9.983964e-01	1.218516e+00	
1.487000e+02	9.303483e-01	1.603789e-01	1.339778e-02	2.357966e-01	9.983964e-01	1.218516e+00	
1.488000e+02	9.353234e-01	1.603967e-01	1.345930e-02	2.364900e-01	9.983964e-01	1.218516e+00	
1.489000e+02	9.402985e-01	1.604143e-01	1.352082e-02	2.371833e-01	9.983964e-01	1.218516e+00	
1.490000e+02	9.452736e-01	1.604318e-01	1.358234e-02	2.378766e-01	9.983964e-01	1.218516e+00	
1.491000e+02	9.502488e-01	1.604492e-01	1.364386e-02	2.385699e-01	9.983964e-01	1.218516e+00	
1.492000e+02	9.552239e-01	1.604666e-01	1.370538e-02	2.392631e-01	9.983964e-01	1.218516e+00	
1.493000e+02	9.601990e-01	1.604838e-01	1.376690e-02	2.399562e-01	9.983964e-01	1.218516e+00	
