pa	pa	kod	nod	vud	mdflw	rbf	
8.000000e+01	0.000000e+00	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	9.628728e-01	
8.100000e+01	9.009009e-03	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	9.749087e-01	
8.200000e+01	1.801802e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	9.869446e-01	
8.300000e+01	2.702703e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	9.989806e-01	
8.400000e+01	3.603604e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.011016e+00	
8.500000e+01	4.504505e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.023052e+00	
8.600000e+01	5.405405e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.035088e+00	
8.700000e+01	6.306306e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.047124e+00	
8.800000e+01	7.207207e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.059160e+00	
8.900000e+01	8.108108e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.071196e+00	
9.000000e+01	9.009009e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.083232e+00	
9.100000e+01	9.909910e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.095268e+00	
9.200000e+01	1.081081e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.107304e+00	
9.300000e+01	1.171171e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.119340e+00	
9.400000e+01	1.261261e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.131376e+00	
9.500000e+01	1.351351e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.143411e+00	
9.600000e+01	1.441441e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.155447e+00	
9.700000e+01	1.531532e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.167483e+00	
9.800000e+01	1.621622e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.179519e+00	
9.900000e+01	1.711712e-01	2.794961e-02	1.000000e-09	8.833568e-02	2.280528e-01	1.191555e+00	
1.000000e+02	1.801802e-01	8.418535e-02	1.000000e-09	1.068862e-01	5.728775e-01	1.203591e+00	
1.010000e+02	1.891892e-01	1.424605e-01	1.608084e-03	1.367185e-01	9.162118e-01	1.215627e+00	
1.020000e+02	1.981982e-01	2.085863e-01	3.363753e-02	4.874645e-01	1.258110e+00	1.227663e+00	
1.030000e+02	2.072072e-01	2.698526e-01	6.554311e-02	8.760078e-01	1.598624e+00	1.239699e+00	
1.040000e+02	2.162162e-01	3.302271e-01	9.732924e-02	1.262728e+00	1.937803e+00	1.251735e+00	
1.050000e+02	2.252252e-01	3.901845e-01	1.290001e-01	1.647937e+00	2.275693e+00	1.263771e+00	
1.060000e+02	2.342342e-01	4.498435e-01	1.605597e-01	2.031743e+00	2.612340e+00	1.275806e+00	
1.070000e+02	2.432432e-01	5.092513e-01	1.920119e-01	2.414216e+00	2.947787e+00	1.287842e+00	
1.080000e+02	2.522523e-01	5.684330e-01	2.233603e-01	2.795410e+00	3.282073e+00	1.299878e+00	
1.090000e+02	2.612613e-01	6.274043e-01	2.546084e-01	3.175373e+00	3.615238e+00	1.311914e+00	
1.100000e+02	2.702703e-01	6.861770e-01	2.857595e-01	3.554148e+00	3.947320e+00	1.323950e+00	
1.110000e+02	2.792793e-01	7.447605e-01	3.168169e-01	3.931776e+00	4.278354e+00	1.335986e+00	
1.120000e+02	2.882883e-01	8.031626e-01	3.477835e-01	4.308296e+00	4.608373e+00	1.348022e+00	
1.130000e+02	2.972973e-01	8.613904e-01	3.786623e-01	4.683742e+00	4.937411e+00	1.360058e+00	
1.140000e+02	3.063063e-01	9.194504e-01	4.094561e-01	5.058151e+00	5.265499e+00	1.372094e+00	
1.150000e+02	3.153153e-01	9.773483e-01	4.401676e-01	5.431555e+00	5.592666e+00	1.384130e+00	
1.160000e+02	3.243243e-01	1.035090e+00	4.707992e-01	5.803985e+00	5.918942e+00	1.396166e+00	
1.170000e+02	3.333333e-01	1.092680e+00	5.013536e-01	6.175472e+00	6.244353e+00	1.408202e+00	
1.180000e+02	3.423423e-01	1.150123e+00	5.318330e-01	6.546045e+00	6.568927e+00	1.420237e+00	
1.190000e+02	3.513514e-01	1.207424e+00	5.622397e-01	6.915732e+00	6.892688e+00	1.432273e+00	
1.200000e+02	3.603604e-01	1.264588e+00	5.925759e-01	7.284558e+00	7.215662e+00	1.444309e+00	
1.210000e+02	3.693694e-01	1.321619e+00	6.228436e-01	7.652550e+00	7.537870e+00	1.456345e+00	
1.220000e+02	3.783784e-01	1.378520e+00	6.530450e-01	8.019733e+00	7.859336e+00	1.468381e+00	
