ppc	ppc	kod	nod	vud	mdflw	rbf	
2.000000e+01	0.000000e+00	1.377720e+00	6.356662e-01	7.826191e+00	7.999036e+00	1.218516e+00	
2.100000e+01	4.761905e-02	1.256326e+00	5.729801e-01	7.062237e+00	7.298412e+00	1.218516e+00	
2.200000e+01	9.523810e-02	1.134928e+00	5.102940e-01	6.298282e+00	6.597787e+00	1.218516e+00	
2.300000e+01	1.428571e-01	1.013524e+00	4.476079e-01	5.534323e+00	5.897163e+00	1.218516e+00	
2.400000e+01	1.904762e-01	8.921124e-01	3.849218e-01	4.770360e+00	5.196538e+00	1.218516e+00	
2.500000e+01	2.380952e-01	7.706876e-01	3.222357e-01	4.006389e+00	4.495914e+00	1.218516e+00	
2.600000e+01	2.857143e-01	6.492409e-01	2.595496e-01	3.242407e+00	3.795289e+00	1.218516e+00	
2.700000e+01	3.333333e-01	5.277517e-01	1.968635e-01	2.478401e+00	3.094665e+00	1.218516e+00	
2.800000e+01	3.809524e-01	4.061634e-01	1.341774e-01	1.714339e+00	2.394040e+00	1.218516e+00	
2.900000e+01	4.285714e-01	2.842362e-01	7.149130e-02	9.500897e-01	1.693416e+00	1.218516e+00	
3.000000e+01	4.761905e-01	1.581617e-01	8.805202e-03	1.893801e-01	9.927914e-01	1.218516e+00	
3.100000e+01	5.238095e-01	4.050343e-02	1.000000e-09	9.247681e-02	2.921669e-01	1.218516e+00	
3.200000e+01	5.714286e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.300000e+01	6.190476e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.400000e+01	6.666667e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.500000e+01	7.142857e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.600000e+01	7.619048e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.700000e+01	8.095238e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.800000e+01	8.571429e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
3.900000e+01	9.047619e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
4.000000e+01	9.523810e-01	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
