vb	vb	kod	nod	vud	mdflw	rbf	
4.000000e+00	0.000000e+00	3.265177e-01	9.318909e-02	1.214666e+00	1.935926e+00	1.218516e+00	
4.020000e+00	6.622517e-03	3.225799e-01	9.116573e-02	1.189997e+00	1.913311e+00	1.218516e+00	
4.040000e+00	1.324503e-02	3.186336e-01	8.913841e-02	1.165278e+00	1.890653e+00	1.218516e+00	
4.060000e+00	1.986755e-02	3.146786e-01	8.710710e-02	1.140511e+00	1.867949e+00	1.218516e+00	
4.080000e+00	2.649007e-02	3.107148e-01	8.507181e-02	1.115695e+00	1.845201e+00	1.218516e+00	
4.100000e+00	3.311258e-02	3.067422e-01	8.303250e-02	1.090829e+00	1.822409e+00	1.218516e+00	
4.120000e+00	3.973510e-02	3.027607e-01	8.098918e-02	1.065913e+00	1.799571e+00	1.218516e+00	
4.140000e+00	4.635762e-02	2.987701e-01	7.894184e-02	1.040948e+00	1.776688e+00	1.218516e+00	
4.160000e+00	5.298013e-02	2.947704e-01	7.689045e-02	1.015933e+00	1.753761e+00	1.218516e+00	
4.180000e+00	5.960265e-02	2.907613e-01	7.483502e-02	9.908672e-01	1.730788e+00	1.218516e+00	
4.200000e+00	6.622517e-02	2.867428e-01	7.277553e-02	9.657515e-01	1.707769e+00	1.218516e+00	
4.220000e+00	7.284768e-02	2.827147e-01	7.071196e-02	9.405851e-01	1.684705e+00	1.218516e+00	
4.240000e+00	7.947020e-02	2.786768e-01	6.864431e-02	9.153680e-01	1.661596e+00	1.218516e+00	
4.260000e+00	8.609272e-02	2.746290e-01	6.657256e-02	8.900998e-01	1.638441e+00	1.218516e+00	
4.280000e+00	9.271523e-02	2.705710e-01	6.449671e-02	8.647803e-01	1.615239e+00	1.218516e+00	
4.300000e+00	9.933775e-02	2.665027e-01	6.241674e-02	8.394093e-01	1.591992e+00	1.218516e+00	
4.320000e+00	1.059603e-01	2.624237e-01	6.033264e-02	8.139865e-01	1.568699e+00	1.218516e+00	
4.340000e+00	1.125828e-01	2.583337e-01	5.824440e-02	7.885116e-01	1.545359e+00	1.218516e+00	
4.360000e+00	1.192053e-01	2.542325e-01	5.615200e-02	7.629843e-01	1.521973e+00	1.218516e+00	
