vp	vp	kod	nod	vud	mdflw	rbf	
1.200000e+00	0.000000e+00	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.210000e+00	2.079002e-03	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.220000e+00	4.158004e-03	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.230000e+00	6.237006e-03	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.240000e+00	8.316008e-03	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.250000e+00	1.039501e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.260000e+00	1.247401e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.270000e+00	1.455301e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.280000e+00	1.663202e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.290000e+00	1.871102e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.300000e+00	2.079002e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.310000e+00	2.286902e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.320000e+00	2.494802e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.330000e+00	2.702703e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.340000e+00	2.910603e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.350000e+00	3.118503e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.360000e+00	3.326403e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.370000e+00	3.534304e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.380000e+00	3.742204e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.390000e+00	3.950104e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.400000e+00	4.158004e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.410000e+00	4.365904e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.420000e+00	4.573805e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.430000e+00	4.781705e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.440000e+00	4.989605e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.450000e+00	5.197505e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.460000e+00	5.405405e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.470000e+00	5.613306e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.480000e+00	5.821206e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.490000e+00	6.029106e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.500000e+00	6.237006e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.510000e+00	6.444906e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.520000e+00	6.652807e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.530000e+00	6.860707e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.540000e+00	7.068607e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.550000e+00	7.276507e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.560000e+00	7.484407e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.570000e+00	7.692308e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.580000e+00	7.900208e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
1.590000e+00	8.108108e-02	0.000000e+00	1.000000e-09	7.911596e-02	0.000000e+00	1.218516e+00	
